,Unnamed: 0,Company,CPU Detail,CPU Manufacturer,CPU Generation,CPU Arc,Core,Cache,RAM,HDD,SSD,Graphic-creator,Graphic RAM,Blore screen,Keyboard light,Battery houre,Battery Cells,Battery Capacity,Size per Inch/,Touch screen,amount
0,0,600,Celeron,Intel,,x86,2.0,4.0,4.0,1000.0,,,2.0,1.0,,3.0,2.0,35.0,,,8.999
1,1,,Core i7-Alder Lake,Intel,12.0,x86,10.0,24.0,16.0,,512.0,NVIDIA,8.0,,1.0,,4.0,76.0,,,59.5
2,2,,Alder Lake,Intel,12.0,x86,8.0,12.0,16.0,,512.0,,4.0,,,,,45.0,15.6,,37.2
3,3,,M1,Apple,,M1,,12.0,8.0,,256.0,Apple,0.0,0.0,1.0,15.0,,50.0,13.3,,48.899
4,4,,Core i5-Tiger Lake,Intel,10.0,x86,4.0,8.0,8.0,,512.0,NVIDIA,4.0,,1.0,,3.0,48.0,,,36.7
5,5,Lenova,Core i3,Intel,11.0,x86,2.0,6.0,12.0,1000.0,256.0,,2.0,,0.0,1.5,,35.0,15.6,,18.47
6,6,HP,Core i5,Intel,,x86,8.0,12.0,,,512.0,,4.0,,1.0,,,52.0,15.6,,37.8
7,7,,Celeron,intel,,x86,2.0,4.0,4.0,1000.0,128.0,,,1.0,,3.0,2.0,35.0,,,11.68
8,8,ASUS,Core i5,intel,,x86,6.0,12.0,4.0,,512.0,,,1.0,1.0,2.0,,,15.6,,39.999
9,9,,Core i5,intel,10.0,x86,4.0,6.0,8.0,,256.0,,2.0,0.0,1.0,13.0,,39.0,12.4,,30.199
10,10,,Core i7-Alder Lake-P,Intel,12.0,x86,10.0,24.0,16.0,,512.0,NVIDIA,4.0,,1.0,,3.0,45.0,,,44.1
11,11,,Core i7-Tiger Lake,Intel,11.0,x86,8.0,24.0,16.0,,512.0,NVIDIA,4.0,,1.0,,4.0,70.0,,,47.85
12,12,,Core i5-Tiger Lake,Intel,11.0,x86,4.0,8.0,8.0,,512.0,NVIDIA,2.0,,,,2.0,37.0,,,25.899
13,13,Apple,M2,Apple,,M2,8.0,20.0,8.0,,256.0,Apple,,,1.0,17.0,,58.0,13.3,,67.0
14,14,,Core i5-Tiger Lake,Intel,11.0,x86,4.0,8.0,8.0,1000.0,,NVIDIA,2.0,,,,2.0,38.0,,,23.799
15,15,,Core i7,intel,,x86,14.0,24.0,16.0,,1000.0,NVIDIA,6.0,,1.0,5.5,,90.0,15.6,,62.749
16,16,Apple,M2,Apple,,M2,10.0,12.0,16.0,,512.0,Apple,0.0,,1.0,18.0,,70.0,14.2,,98.0
17,17,,Celeron,intel,,x86,2.0,4.0,4.0,1000.0,,,,,0.0,,,33.0,15.6,,12.7
18,18,12500H,Core i5-Alder Lake,Intel,12.0,x86,12.0,18.0,16.0,,512.0,NVIDIA,4.0,,1.0,,3.0,52.0,,,40.0
19,19,Apple,M2,Apple,,M2,8.0,20.0,8.0,,256.0,Apple,0.0,,,15.0,,52.5,13.6,,58.499
20,20,,Core i7,Intel,11.0,x86,8.0,24.0,16.0,,1000.0,,6.0,,,,,60.0,15.6,,66.0
21,21,ROG,Core i7,Intel,13.0,x86,14.0,24.0,16.0,,512.0,NVIDIA,8.0,,1.0,5.0,,90.0,16.0,,85.83
22,22,,Corei5,intel,,x86,6.0,12.0,6.0,,512.0,NVIDIA,4.0,1.0,,2.0,,48.0,15.6,,43.9
23,23,11370H,Core i7-Tiger Lake,Intel,11.0,x86,4.0,12.0,16.0,1000.0,256.0,NVIDIA,4.0,,1.0,,,45.0,,,46.888
24,24,4800H,Ryzen 7-Zen2,AMD,4.0,x86,8.0,8.0,16.0,,1000.0,NVIDIA,4.0,,1.0,,,56.0,,,49.95
25,25,6800H,Ryzen 7-Zen3,AMD,6.0,x86,8.0,20.0,16.0,,512.0,NVIDIA,4.0,,1.0,,,56.0,,,50.372
26,26,N4020,Celeron,intel,,x86,2.0,4.0,4.0,,,,2.0,1.0,,3.0,,33.0,,,11.0
27,27,10300H,Core i5-Comet Lake,Intel,10.0,x86,4.0,8.0,16.0,,512.0,NVIDIA,4.0,,1.0,,,48.0,,,37.481
28,28,,Core i5-Tiger Lake,Intel,11.0,x86,4.0,8.0,8.0,,512.0,,2.0,,,,,56.5,14.0,,25.199
29,29,12700H,Core i7 Alder Lake,Intel,12.0,x86,14.0,24.0,32.0,,1000.0,NVIDIA,6.0,,1.0,,,80.0,,,71.0
30,30,5700U,Ryzen 7-Zen 2,AMD,5.0,x86,8.0,8.0,8.0,,256.0,NVIDIA,2.0,,1.0,,,56.0,,,37.5
31,31,Apple,M1,Apple,,M1,8.0,24.0,16.0,,512.0,,,,1.0,,,70.0,14.2,,92.9
32,32,,Core i3,intel,,x86,2.0,6.0,4.0,,512.0,,2.0,,0.0,,,38.0,15.6,,16.91
33,33,ASUS,Ryzen 7-Zen3,AMD,6.0,x86,8.0,16.0,32.0,,1000.0,,,1.0,1.0,3.0,,,15.6,,62.444
34,34,ASUS,Core i5-Alder Lake,intel,12.0,x86,12.0,18.0,8.0,,512.0,,,1.0,1.0,3.0,,,15.6,,38.199
35,35,,Core i7,intel,12.0,x86,10.0,12.0,16.0,,512.0,,,,0.0,,,42.0,15.6,,31.499
36,36,11400H,Core i5 Tiger Lake,Intel,11.0,x86,6.0,12.0,16.0,,1000.0,NVIDIA,4.0,,1.0,,,90.0,,,39.77
37,37,Apple,M1,Apple,,M1,10.0,24.0,16.0,,512.0,Apple,,,1.0,11.0,,100.0,16.2,,104.05
38,38,Apple,M2,Apple,,M2,8.0,20.0,8.0,,512.0,Apple,,,1.0,11.0,,52.0,13.6,,63.8
39,39,,Ryzen 3,AMD,,x86,,4.0,8.0,1000.0,,,2.0,1.0,,,2.0,38.0,15.6,,1.97
40,40,HUAWEI,Core i5,Intel,,x86,4.0,8.0,,,512.0,,,,1.0,,,56.0,14.0,,23.777
41,41,,Core i7,intel,,x86,,8.0,16.0,,512.0,NVIDIA,6.0,0.0,1.0,17.0,,,15.0,,69.3
42,42,ASUS,Core i7-Alder Lake,intel,12.0,x86,10.0,24.0,16.0,,1000.0,,,1.0,1.0,3.0,,,15.6,,62.0
43,43,6800H,Ryzen 7-Zen 3,AMD,6.0,x86,8.0,16.0,8.0,,1000.0,NVIDIA,4.0,,1.0,,4.0,56.0,,,51.899
44,44,,Core i5-Tiger Lake,Intel,11.0,x86,4.0,8.0,8.0,,512.0,,2.0,,,,,37.0,15.6,,29.249
45,45,1135G7,Core i5-Tiger Lake,Intel,11.0,x86,4.0,8.0,8.0,,512.0,NVIDIA,2.0,,1.0,,3.0,42.0,,,38.899
46,46,,Core i7-Tiger Lake,Intel,11.0,x86,4.0,12.0,16.0,,512.0,,2.0,,,,,56.5,14.0,,33.988
47,47,ASUS,Core i7,intel,12.0,x86,10.0,24.0,16.0,,512.0,Nvidia,,,1.0,,,76.0,15.6,,51.5
48,48,,Celeron,intel,,x86,2.0,4.0,4.0,,128.0,,0.0,1.0,,3.0,2.0,32.0,11.6,,9.9
49,49,11400H,Core i5 Tiger Lake,Intel,11.0,x86,6.0,12.0,16.0,,512.0,NVIDIA,4.0,,1.0,,4.0,90.0,,,38.7
50,50,1115G4,Core i3,INTEL,,x86,2.0,6.0,8.0,1000.0,256.0,,4.0,1.0,,3.0,2.0,35.0,,,16.67
51,51,,M1,Apple,,M1,8.0,12.0,8.0,,256.0,Apple,,,1.0,15.0,,50.0,13.3,,48.0
52,52,,Core i7-Alder Lake-P,intel,12.0,x86,14.0,24.0,16.0,,512.0,,,1.0,1.0,5.5,,,15.6,,59.444
53,53,,Raptor Lake,Intel,13.0,x86,24.0,36.0,16.0,,1000.0,NVIDIA,8.0,,1.0,1.5,,90.0,18.0,,137.36
54,54,,M2,Apple,,M2,,12.0,8.0,,512.0,Apple,,,,17.0,,,13.3,,72.7
55,55,12500H,Core i5-Alder Lake,Intel,12.0,x86,12.0,18.0,16.0,,1000.0,NVIDIA,4.0,,1.0,,3.0,52.0,,,40.9
56,56,,Corei 7,intel,11.0,x86,4.0,12.0,8.0,,512.0,NVIDIA,2.0,1.0,0.0,3.0,2.0,37.0,15.6,,30.4
57,57,600,Celeron,INTEL,,x86,2.0,4.0,4.0,1000.0,256.0,,2.0,1.0,,2.0,2.0,35.0,,,12.2
58,58,1155G7,Core i5-Tiger Lake,Intel,11.0,x86,4.0,8.0,12.0,1000.0,,NVIDIA,2.0,,,,2.0,38.0,,,24.0
59,59,N4020,Celeron Gemini Lake,Intel,9.0,x86,2.0,4.0,4.0,,256.0,,2.0,,,,3.0,42.0,,,12.749
60,60,12700H,Core i7-Alder Lake,Intel,12.0,x86,14.0,24.0,16.0,,512.0,NVIDIA,4.0,,1.0,,,57.0,,,48.199
61,61,,Core i3,intel,10.0,x86,2.0,4.0,4.0,,1000.0,,2.0,1.0,,3.0,2.0,37.0,14.0,,17.339
62,62,ASUS,Core i7,intel,,x86,14.0,24.0,16.0,,1000.0,,,1.0,1.0,3.0,,,15.6,,55.599
63,63,ASUS,Core i7,intel,10.0,x86,4.0,8.0,16.0,,1000.0,,,1.0,0.0,2.0,,,15.6,,32.5
64,64,Apple,M2,Apple,,M2,12.0,12.0,16.0,,512.0,Apple,,,1.0,15.0,,99.6,16.2,,120.999
65,65,ASUS,Core i9,intel,,x86,14.0,24.0,16.0,,1000.0,,,1.0,1.0,5.5,,,15.6,,112.499
66,66,Apple,M1,Apple,,M1,8.0,12.0,8.0,,256.0,Apple,,,1.0,17.0,,58.0,13.3,,58.0
67,67,,Core i5,Intel,11.0,x86,4.0,8.0,12.0,1000.0,256.0,,2.0,,,,,38.0,15.6,,25.0
68,68,,Core i5,Intel,11.0,x86,4.0,8.0,8.0,1000.0,,,2.0,,,,,38.0,15.6,,23.9
69,69,12700H,Core i7-Alder Lake,Intel,12.0,x86,14.0,24.0,16.0,,512.0,NVIDIA,6.0,,1.0,,4.0,70.0,,,59.9
70,70,,Core i3,intel,,x86,2.0,4.0,12.0,1000.0,512.0,Nvidia,4.0,,0.0,,,45.0,15.6,,17.6
71,71,,Corei5,intel,,x86,10.0,12.0,8.0,,1000.0,NVIDIA,2.0,1.0,,2.0,3.0,40.0,15.6,,23.399
72,72,,Corei7,intel,,x86,4.0,12.0,8.0,,1000.0,NVIDIA,2.0,1.0,,2.0,2.0,38.0,15.6,,27.1
73,73,,,MSI,11.0,,7.0,12.0,16.0,,1000.0,,,,,,,,13.4,,42.7
74,74,,Corei5,,,x86,4.0,6.0,4.0,,64.0,,,0.0,1.0,13.0,,,12.4,,19.388
75,75,Apple,M1,,,M1,10.0,24.0,16.0,,1000.0,Apple,,,1.0,11.0,,100.0,16.2,,108.05
76,76,5800H,Ryzen 7-Zen 3,AMD,5.0,x86,8.0,16.0,16.0,,1000.0,NVIDIA,4.0,,1.0,,6.0,96.0,,,52.85
77,77,Apple,M2,Apple,,M2,8.0,22.0,8.0,,256.0,,,,1.0,,,58.2,13.3,,61.499
78,78,MSI,12650H Raptor Lake,,12.0,x86,10.0,24.0,16.0,,1000.0,,,,1.0,2.0,,,15.6,,85.599
79,79,6900HX,Ryzen 9-Zen 3,AMD,6.0,x86,8.0,16.0,16.0,,1000.0,NVIDIA,6.0,,1.0,,4.0,9.0,,,71.999
80,80,Apple,M1,Apple,,M1,8.0,12.0,8.0,,256.0,Apple,,,1.0,15.0,,50.0,13.3,,46.5
81,81,,Core i3-Tiger Lake,Intel,11.0,x86,2.0,6.0,4.0,,256.0,,0.0,,,,,38.0,15.6,,15.2
82,82,HP,Core i5,Intel,,x86,8.0,12.0,,,1000.0,,4.0,,1.0,,,52.5,15.6,,39.0
83,83,,Ryzen 5,AMD,,x86,6.0,19.0,8.0,,512.0,NVIDIA,4.0,1.0,,2.0,3.0,50.0,15.6,,33.899
84,84,,Core i7,Intel,,x86,,,16.0,,512.0,NVIDIA,2.0,1.0,,,,56.0,15.6,,23.5
85,85,,Core i5,Intel,10.0,x86,4.0,6.0,8.0,,256.0,,,,1.0,17.0,,51.0,13.5,,48.699
86,86,,Celeron,Intel,,x86,2.0,4.0,4.0,,256.0,,,1.0,,3.0,3.0,42.0,15.6,,11.95
87,87,,Core i7-Tiger Lake,Intel,11.0,x86,8.0,24.0,16.0,,512.0,NVIDIA,8.0,,1.0,,4.0,60.0,,,75.899
88,88,ASUS,Core i5,Intel,12.0,x86,12.0,18.0,16.0,,512.0,NVIDIA,4.0,,1.0,1.5,,56.0,15.6,,41.899
89,89,,Corei5,Intel,,x86,6.0,12.0,8.0,,256.0,NVIDIA,4.0,1.0,,2.0,3.0,52.4,15.6,,30.799
90,90,,Core i7-Alder Lake,Intel,12.0,x86,,24.0,16.0,,512.0,,6.0,,,,,90.0,15.6,,61.599
91,91,,Core i7-Tiger Lake,Intel,11.0,x86,4.0,12.0,16.0,,512.0,NVIDIA,2.0,,,,2.0,37.0,,,35.699
92,92,,Corei7,Intel,,x86,14.0,24.0,16.0,,512.0,NVIDIA,6.0,1.0,,2.0,4.0,90.0,15.6,,62.898
93,93,12650H,Core i7 Alder Lake,Intel,12.0,x86,10.0,24.0,32.0,,1000.0,NVIDIA,8.0,,1.0,,4.0,76.0,,,64.481
94,94,,Ryzen 5,AMD,,x86,6.0,16.0,8.0,,512.0,NVIDIA,4.0,1.0,,3.0,4.0,60.0,15.6,,41.2
95,96,,Core i7,intel,11.0,x86,4.0,12.0,8.0,,256.0,,,,1.0,17.0,,48.0,15.6,,18.9
96,97,,Ryzen 5,AMD,5.0,x86,6.0,19.0,16.0,1000.0,256.0,Nvidia,,,1.0,,,45.0,15.6,,29.7
97,98,,Core i3,intel,11.0,x86,2.0,6.0,12.0,1000.0,512.0,,2.0,,0.0,,,38.0,15.6,,20.188
98,99,,Core i9,intel,,x86,,36.0,32.0,,2000.0,,16.0,,1.0,,,91.0,18.0,,333.1
99,100,acer,Core i7-Alder Lake-P,intel,12.0,x86,14.0,24.0,16.0,,512.0,,,1.0,1.0,2.0,,,15.6,,60.8
100,101,,Core i7,Intel,,x86,,12.0,8.0,,1000.0,,0.0,,1.0,,,,15.6,,50.2
101,102,,Ryzen,AMD,,x86,8.0,16.0,16.0,,1000.0,,4.0,,,,,62.0,13.4,,78.499
102,103,,Core i5-Coffee Lake ,Intel,,x86,,6.0,8.0,,512.0,,0.0,,,10.0,,49.2,13.3,,25.9
103,104,,Core i7,Intel,,x86,,8.0,16.0,,256.0,NVIDIA,,0.0,,,,57.0,15.0,,55.4
104,105,6800H,Ryzen 7 AMD-Zen 3,AMD,6.0,x86,8.0,16.0,16.0,,1000.0,NVIDIA,6.0,,1.0,,4.0,80.0,,,51.79
105,106,11800H,Core i7-Tiger Lake,Intel,11.0,x86,8.0,24.0,32.0,,1000.0,NVIDIA,8.0,,1.0,,6.0,83.0,,,70.899
106,107,5800H,Ryzen 7-Zen 3,AMD,5.0,x86,8.0,16.0,32.0,,1000.0,NVIDIA,8.0,,1.0,,5.0,60.0,,,25.7
107,108,MSI,Core i7-Alder Lake,intel,12.0,x86,10.0,24.0,16.0,,512.0,,,,1.0,2.0,,,15.6,,58.874
108,109,12650H,Core i7-Alder Lake-P,Intel,12.0,x86,10.0,24.0,16.0,,1000.0,NVIDIA,4.0,,1.0,,3.0,45.0,,,45.0
109,110,,Core i7-Tiger Lake,Intel,11.0,x86,4.0,12.0,16.0,,512.0,,6.0,,,,,76.0,15.6,,58.499
110,111,12700H,Core i7-Alder Lake-P,Intel,12.0,x86,14.0,24.0,16.0,,1000.0,NVIDIA,8.0,,1.0,,4.0,90.0,,,82.5
111,112,12700H,Core i7-Alder Lake,Intel,12.0,x86,14.0,24.0,16.0,,1000.0,NVIDIA,6.0,,1.0,,8.0,92.0,,,113.249
112,113,RTX 3050TI,Core i7,NVIDIA,,x86,8.0,24.0,16.0,,512.0,,4.0,1.0,,3.0,4.0,60.0,,,58.898
113,114,1115G4,Core i3-Tiger Lake,Intel,11.0,x86,2.0,6.0,8.0,,256.0,NVIDIA,2.0,,,,2.0,38.0,,,16.07
114,115,12450H,Core i5-Alder Lake,Intel,12.0,x86,8.0,12.0,8.0,,512.0,NVIDIA,4.0,,1.0,,4.0,76.0,,,45.4
115,116,5800H,Ryzen 7-Zen 3,AMD,5.0,x86,8.0,16.0,16.0,,1000.0,NVIDIA,6.0,,1.0,,4.0,80.0,,,61.398
116,117,ASUS,Core i7-Alder Lake,Intel,12.0,x86,14.0,24.0,16.0,,1000.0,,,1.0,1.0,5.5,,,16.0,,76.999
117,118,ASUS,Ryzen 7,AMD,,x86,8.0,16.0,16.0,,1000.0,,,1.0,1.0,3.0,,,15.6,,68.5
118,119,,Ryzen 9,AMD,,x86,8.0,16.0,16.0,,1000.0,,6.0,,,,,90.0,15.6,,45.499
119,120,12700H,Core i7 Alder Lake,Intel,12.0,x86,14.0,24.0,32.0,,1000.0,NVIDIA,8.0,,1.0,,,80.0,,,83.188
120,121,1165G7,Core i7 Tiger Lake,Intel,11.0,x86,4.0,12.0,16.0,,1000.0,NVIDIA,2.0,,1.0,,,42.0,,,41.399
121,122,ASUS,Core i7,Intel,,x86,14.0,24.0,16.0,,512.0,,,1.0,1.0,2.0,,,15.6,,50.799
122,123,,Core i7,Intel,12.0,x86,14.0,24.0,16.0,,512.0,NVIDIA,6.0,1.0,1.0,,,,15.6,,27.9
123,124,12500H,Core i5 Alder Lake-P,Intel,12.0,x86,12.0,18.0,16.0,,512.0,NVIDIA,4.0,,1.0,,4.0,56.0,,,48.199
124,125,,Core i5,Intel,,x86,,,8.0,,256.0,NVIDIA,4.0,0.0,,13.5,,,,,18.9
125,126,,Core i9,Intel,,x86,16.0,30.0,128.0,,2000.0,NVIDIA,16.0,,,,4.0,99.9,17.3,,380.0
126,127,N4500,Celeron-Jasper Lake,Intel,,x86,2.0,4.0,4.0,,256.0,,2.0,,1.0,,2.0,39.0,,,27.2
