,نوع و مدل لپ تاپ new,سری AMD new,جزئیات CPU new,مشخصات cpu ( پردازنده ) new,CPU Manufacturer new,نسل پردازنده مرکزی new,هسته پردازشی new,هسته واقعی new,میزان حافظه کش L2 new,ظرفیت داخلی new,امکان ارتقاء هارد دیسک تا new,نوع حافظه داخلي new,ظرفیت حافظه دوم new,سازنده پردازنده گرافیک new,مدل پردازنده گرافیک new,مشخصات گرافیک new,صفحه نمایش مات یا شیشه‌ای new,نور پس زمینه کیبورد new,شارژدهي باتري new,ویژگی های باتری و شارژر new,شارژر / باتری new,ابعاد صفحه نمایش new,تعدادفن new,صحفه نمایش مات new,صفحه تاچ new,نور صفحع کلید new,حسگر اثر انگشت Touch ID new,amount new
0, 600 ,          ,Celeron       ,     ,INTEL             , ,     ,2                     ,4MB                         ,4GB                                        , 1TB             ,                 ,ندارد                               ,                   ,UHD     ,              UP TO 2GB                     ,دارد ,     ,2 الی 4 ساعت         , ,2Cell 35WHr                ,           ,  ,  ,   ,            ,   ,8.999.000
1, 12650H ,          ,Core i7 Alder Lake      ,     , Intel            ,نسل 12 ,x86     ,10                     ,24MB                         , 16GB                                       ,              ,                 , 512GB                              ,NVIDIA                   ,GeForce RTX 3070    ,              8GB                     , ,White Backlit     ,         , ,4Cell 76WHr                ,           ,  ,  ,   ,            ,   ,59.500.000
2,  ,          ,12th Gen\Alder Lake       ,     ,  Intel           , , Core i5-12450H    8 هسته (4 هسته پُرمصرف + 4 هسته کم مصرف),                     , 12MB Smart Cache                        ,  16GB                                      ,❌              ,                 , 512GB ✔️                             ,                   , NVIDIA GeForce RTX 3050    ,4GB                                   , ,     ,         , , 45WHr               ,15.6 اینچ           ,  ,  ,   ,            ,   ,37.200.000
3,  ,          ,M1       ,     ,             , , Apple M1 chip    ,                     ,  12 مگابایت                       ,   8 گیگابایت                                     ,              ,256 گیگابایت SSD PCIe-based onboard               ,                               , Apple Apple                 ,  7core Apple-designed integrated GPU   , بدون حافظه‌ی گرافیکی مجزا                                  ,خیر , دارد    ,  حداکثر تا 15 ساعت برای وب گردی ساعت       , ,  باتری لیتیوم پلیمر با ظرفیت 49.9 وات ساعت              , 13.3 اینچ          ,  ,  ,   ,            ,   ,48.899.000
4, 10300H ,          ,Core i5 Comet Lake      ,     , Intel            ,نسل 10 ,x86     ,4                     ,8MB                         , 8GB                                       ,              ,                 , 512GB                              ,NVIDIA                   ,GeForce GTX 1650    ,              4GB                     , ,Backlit Chiclet Keyboard 1-Zone RGB     ,         , ,3Cell 48WHrs                ,           ,  ,  ,   ,            ,   ,36.700.000
5,Ideapad 3  ,          ,Core i3       ,     ,   Intel          ,11 ,  1115G4   ,2                     ,   6 مگابایت                      ,   12 گیگابایت                                     ,  1 ترابایت            ,1 ترابایت + 256 گیگابایت  PCIe NVMe HDD ،SSD              ,   256 گیگابایت                            , Intel                  ,  Intel UHD پردازنده گرافیکی یکپارچه  , Up to 2GB share 3.0                                  , ,  ندارد   ,  1 تا 2 ساعت       , , 35 وات ساعت               ,  15.6 اینچ         ,  ,  ,   ,            ,   ,18.470.000
6, Victus 15-FA0031DX-Z ,          ,Core i5       ,     ,Intel             , ,  12450H 64 بیتی  , 8 هسته حقیقی + 12 هسته مجازی                    ,    12 مگابایت                     ,                                        ,              ,512 گیگابایت SSD                ,                               ,                   ,     ,  4 گیگابایت       4 گیگابایت                          , ,   دارد (White Backlit)  ,         , , 52.5 وات ساعت               , 15.6 اینچ          ,NVIDIA GeForce GTX 1650  ,  ,   ,            ,   ,37.800.000
7, 600 ,          ,Celeron       ,     ,INTEL             , ,     ,2                     ,4MB                         ,4GB      UP TO 2GB                                  , 1TB             ,                 ,    128GB                           ,                   ,UHD     ,                                   ,دارد ,     ,2 الی 4 ساعت         , ,2Cell 35WHr                ,           ,  ,  ,   ,            ,   ,11.680.000
8,  ,ASUS          ,11400H       ,     ,             , ,x86 Core i5    ,6 هسته حقیقی + 12 هسته مجازی                     ,12 مگابایت                         ,    8GB   4GB                                 ,     ندارد         ,                 ,     512GB                          ,                   ,GeForce  Geforce RTX3050 4GB GDDR6   ,                                   ,بله ,Backlit Chiclet Keyboard Per-Key RGB دارد    ,  1 الی 3 ساعت       , ,                , 15.6 اینچ          , ندارد 2 عدد,  ,   ,            ,   ,39.999.000
9,  ,          ,corei5       ,     ,             ,سری 10 , 1035G1    ,چهار هسته ای                     ,6 مگابایت                         ,8 گیگابایت                                        ,              ,                 ,   256 گیگابایت                            ,   Intel                ,    Intel UHD Graphics ,    Up to 2GB Share                               ,ندارد ,    دارد ,تا 13 ساعت         , , 39 وات               , 12.4 اینچ          ,  ,  ,   ,            ,   ,30.199.000
10, 12650H ,          ,Core i7 Alder Lake-P      ,     , Intel            ,نسل 12 ,x86     ,10                     ,24MB                         , 16GB                                       ,              ,                 , 512GB                              ,NVIDIA                   ,GeForce RTX 3050 Ti    ,              4GB                     , ,Backlit     ,         , ,3Cell 45WHr                ,           ,  ,  ,   ,            ,   ,44.100.000
11, 11800H ,          ,Core i7 Tiger Lake      ,     , Intel            ,نسل 11 ,x86     ,8                     ,24MB                         , 16GB                                       ,              ,                 , 512GB                              ,NVIDIA                   ,GeForce RTX 3050    ,              4GB                     , ,White Backlit     ,         , ,4Cell 70WHr                ,           ,  ,  ,   ,            ,   ,47.850.000
12, 1135G7 ,          ,Core i5 Tiger Lake      ,     , Intel            ,نسل 11 ,x86     ,4                     ,8MB                         , 8GB                                       ,              ,                 , 512GB                              ,NVIDIA                   ,GeForce MX330    ,              2GB                     , ,     ,         , ,2Cell 37WHrs                ,           ,  ,  ,   ,            ,   ,25.899.000
13,  ,          ,Apple M2       ,     ,             , , M2    ,   8 هسته                  ,     20 مگابایت                    ,   8 گیگابایت                                     ,              ,    ندارد             ,   256 گیگابایت                            ,    Apple               ,     ,                                   , ,     دارد,  تا 17 ساعت       , ,  با ظرفیت 58 وات ساعت              , 13.3 اینچ          ,  ,  ,   ,            ,   ,67.000.000
14, 1155G7 ,          ,Core i5 Tiger Lake      ,     , Intel            ,نسل 11 ,x86     ,4                     ,8MB                         , 8GB                                       ,   1TB           ,                 ,                               ,NVIDIA                   ,GeForce MX350    ,              2GB                     , ,     ,         , ,2Cell 38WHrs                ,           ,  ,  ,   ,            ,   ,23.799.000
15,  ,          ,Core i7       ,     ,             , ,  Intel Core i7 12700H   ,14 هسته حقیقی                     ,   24 مگابایت                      ,   16 گیگابایت                                     ,  ندارد            ,1 ترابایت  دارای دو اسلات SSD NVMe PCIe (یکی استفاده شده) SSD              ,   1 ترابایت                            , NVIDIA                  ,  GEFORCE RTX3060 پردازنده گرافیکی مجزا  , 6 گیگابایت GDDR6                                  , ,  دارد   ,  4 تا 7 ساعت       , , 90 وات ساعت               ,  15.6 اینچ         ,  ,  ,   ,            ,   ,62.749.000
16,Macbook pro m2  ,          ,Apple M2       ,     ,   اپل          , ,  اپل M2 Pro   ,پردازنده 10 هسته ای                     ,   12 مگابایت                      ,   16 گیگابایت                                     ,              ,512 گیگابایت SSD   SSD              ,   512 گیگابایت                            , Apple                  ,  پردازنده گرافیکی 14 هسته ای پردازنده گرافیکی یکپارچه  , بدون حافظه گرافیکی مجزا                                  , ,تک رنگ حساس به نور محیط  دارد   ,  حداکثر تا 18 ساعت       , , 70 وات ساعت               ,  14.2 اینچ         ,  ,  ,   ,            ,   ,98.000.000
17,  ,          ,Celeron       ,     ,             , , N4000    ,  2.0                   ,4 مگابایت                         ,     4 گیگابایت  بدون حافظه گرافیکی مجزا                                 ,    1 ترابایت          , HDD                ,                               , intel                  ,     ,                                   , ,     خیر,         , ,"  غیر قابل تعویض, باتری لیتیوم-یون با ظرفیت 33 وات‌ساعت              ", 15.6 اینچ          ,  ,  ,   ,            ,   ,12.700.000
18, 12500H ,          ,Core i5 Alder Lake      ,     , Intel            ,نسل 12 ,x86     ,12                     ,18MB                         , 16GB                                       ,              ,                 , 512GB                              ,NVIDIA                   ,GeForce GTX 1650    ,              4GB                     , ,Backlit     ,         , ,3Cell 52.5WHr                ,           ,  ,  ,   ,            ,   ,40.000.000
