,Unnamed: 0,0
0,0,سری لپ تاپ
1,1,مدل
2,2,نوع و مدل لپ تاپ
3,3,/
4,4,نام برند
5,5,Brand
6,6,برند لپ تاپ
7,7,سازنده محصول
8,8,شرکت سازنده لپتاپ
9,9,برند و سازنده
10,10,برند و سری
11,11,سری لپ تاپ Apple
12,12,سری لپ تاپ ASUS
13,13,سری دستگاه
14,14,سری AMD
15,15,/
16,16,سری پردازنده
17,17,نوع سری پردازنده
18,18,سري پردازنده
19,19,پردازنده مرکزی.سری پردازنده
20,20,چیپست
21,21,سری پردازنده مرکزی
22,22,پردازنده اصلی
23,23,جزئیات CPU
24,24,/
25,25,پردازنده مرکزی
26,26,پردازنده
27,27,سازنده و مدل پردازنده
28,28,پردازنده اصلی(CPU)
29,29,پردازنده :
30,30,مشخصات cpu ( پردازنده )
31,31,/
32,32,سازنده
33,33,شرکت سازنده پردازنده
34,34,برند پردازنده
35,35,سازنده پردازنده مرکزی
36,36,سازنده CPU
37,37,پردازنده مرکزی.سازنده پردازنده
38,38,پردازنده گرافیکی.سازنده پردازنده گرافیکی
39,39,Processor Brand
40,40,سازنده ی پردازنده
41,41,نام پردازنده
42,42,تولید کننده پردازنده
43,43,پردازنده مرکزي.سازنده پردازنده
44,44,برند cpu
45,45,CPU Manufacturer
46,46,/
47,47,نسل پردازنده
48,48,نسل پردازنده مرکزی
49,49,/
50,50,معماری ساخت
51,51,مدل پردازنده
52,52,مدل پردازنده مرکزی
53,53,نوع پردازنده
54,54,تراشه
55,55,هسته پردازشی
56,56,/
57,57,مدل
58,58,/
59,59,تعداد هسته
60,60,تعداد هسته پردازنده
61,61,تعداد هسته واقعی
62,62,هسته اصلی
63,63,تعداد هسته حقیقی
64,64,تعداد سلول
65,65,تعداد هسته و رشته
66,66,Processor
67,67,CPU Model
68,68,CPU
69,69,پردازنده INTEL
70,70,ویژگیهای پردازنده
71,71,سری
72,72,تعداد هسته (Core)
73,73,پردازنده مرکزي.سري پردازنده
74,74,تعداد-هسته
75,75,تعداد هسته ها
76,76,Number of Cores
77,77,سایر توضیحات پردازنده مرکزی (CPU)
78,78,تعداد هسته Core
79,79,ویژگی های پردارنده
80,80,هسته واقعی
81,81,/
82,82,حافظه کش
83,83,حافظه کَش
84,84,حافظه Cache
85,85,حافظه کش پردازنده
86,86,حافظه کش (Cache)
87,87,مجموع حافظه Cache
88,88,میزان کش پردازنده
89,89,میزان کش
90,90,پردازنده مرکزی.حافظه Cache
91,91,ظرفیت حافظه Cache
92,92,حافظه کش (L3)
93,93,حافظه cache
94,94,حافظه ی کش
95,95,حافظه Cache پردازنده
96,96,پردازنده مرکزي.حافظه Cache
97,97,میزان حافظه کش L3
98,98,مقدار حافظه cache
99,99,حافظه کش نهان
100,100,Cache
101,101,حافظه کش - Cache
102,102,حافظه نهان (cache)
103,103,ظرفیت Cache
104,104,مقدار حافظه کش
105,105,کش پردازنده
106,106,میزان Cache
107,107,میزان حافظه کش L2
108,108,/
109,109,حافظه رم
110,110,مقدار حافظه رم
111,111,میزان حافظه رم
112,112,ظرفیت حافظه RAM
113,113,ظرفیت حافظه ی رم
114,114,ظرفیت حافظه رم
115,115,حجم
116,116,حافظه اختصاصی پردازنده
117,117,حافظه رم (RAM)
118,118,ظرفیت رم
119,119,ظرفيت حافظه RAM
120,120,مقدار RAM
121,121,حافظه RAM.ظرفیت حافظه RAM
122,122,حافظه RAM.نوع حافظه RAM
123,123,ظرفیت RAM
124,124,مقدار رم
125,125,رم
126,126,RAM
127,127,Ram Memory Installed Size
128,128,مقدار حافظه RAM
129,129,حافضه RAM
130,130,حافظه RAM
131,131,توضیحات حافظه RAM
132,132,RAM Size
133,133,حجم حافظه رم
134,134,ظرفیت حافظه موقت (RAM)
135,135,Memory
136,136,اندازه حافظه Ram
137,137,ظرفیت حافظه-Ram
138,138,حافظه RAM.ظرفيت حافظه RAM
139,139,رم :
140,140,Ram
141,141,ظرفيت RAM
142,142,سایر توضیحات حافظه RAM
