,amount,سازنده,سری پردازنده,مدل,تعداد هسته,تعداد رشته,حافظه کش,حافظه رم,قابلیت ارتقاء رم,ظرفیت H.D.D,قابلیت ارتقاء حافظه,ظرفیت S.D.D,حجم گرافیک,نوع گرافیک,صفحه نمایش مات,صفحه نمایش لمسی,ظرفیت و نوع,میزان شارژدهی,نور صفحه کلید,حسگر اثر انگشت,شرکت سازنده پردازنده,نوع سری پردازنده,نسل پردازنده,معماری ساخت,مقدار حافظه رم,نوع حافظه,ظرفیت SSD,نوع اتصال SSD,تعداد اسلات SSD,شرکت سازنده گرافیک,مدل گرافیک,رم گرافیک,رابط حافظه,نوع نمایش نور کیبورد,برند پردازنده,مدل پردازنده,هسته پردازشی,حافظه کَش,میزان حافظه رم,نوع حافظه رم,اندازه نمایشگر,حافظه گرافیک,نوع حافظه گرافیک,SSD,نوع SSD,HDD,نوع صفحه کلید,ظرفیت باتری,حافظه Cache,ظرفیت حافظه RAM,نوع حافظه RAM,ظرفیت حافظه داخلی,نوع حافظه داخلی,مشخصات حافظه داخلی,سازنده پردازنده گرافیکی,مدل پردازنده گرافیکی,حافظه اختصاصی پردازنده گرافیکی,اندازه صفحه نمایش,کیبورد با نور پس زمینه,شارژدهی باتری,توضیحات باتری,سازنده پردازنده گرافيکی,سری لپ تاپ,ابعاد نمایشگر,مدل پردازنده مرکزی,حافظه کش پردازنده,سازنده پردازنده مرکزی,نوع پردازنده گرافیکی,نوع حافظه ذخیره سازی,ظرفیت حافظه HDD,ظرفیت حافظه SSD,کیبورد با نور پس‌ زمینه,کیبورد با نور پس‌زمینه,نوع پردازنده,تعداد هسته پردازنده,حافظه کش (Cache),پردازنده گرافیکی,نوع حافظه پردازنده گرافیکی,حافظه پردازنده گرافیکی,ظرفیت S.S.D,حجم,حافظه خشک(SSD),حافظه مکانیکی(HDD),حافظه اختصاصی پردازنده,ظرفیت حافظه ی رم,نام برند,نمایشگر تاچ پد,تعدادفن,حسگرها,سازنده کارت گرافیک,مدل کارت گرافیک,ظرفیت کارت گرافیک,نور پس زمینه صفحه کلید,هسته اصلی,مجموع حافظه Cache,قابلیت ارتقا RAM,حافظه مکانیکی,نوع حافظه SSD,برند تراشه گرافیکی,نور پس زمینه کیبورد,ظرفیت HDD,تعداد هسته واقعی,تعداد هسته مجازی,ظرفیت حافظه رم,ظرفیت هارددیسک,نسل و مدل,نسل پردازنده مرکزی,NVIDIA Advanced Optimus,مشخصات حافظه SSD,قابلیت ارتقا حافظه داخلی,حجم گرافیک اختصاصی,نوع رم گرافیک,ظرفیت و نوع باطری,میزان حدودی شارژدهی باطری,حافظه داخلی,حافظه رم (RAM),اندازه,نسبت ابعاد,مشخصات باتری,سایر قابلیت های باتری,تعداد هسته حقیقی,قابلیت ارتقاء RAM,ظرفیت حافظه,تعداد سلول,نوع حافظه گرافیکی,درگاه حافظه SSD,گرافیک,ظرفیت حافظه هارد,باتری,برند لپ تاپ,میزان کش پردازنده,ظرفیت و نوع باتری,حافظه اختصاصی,سنسور های دیگر,کیبورد,نوع HDD,نوع حافظه داخلی دوم,ظرفیت حافظه داخلی دوم,پردازنده مرکزی,میزان کش,ظرفیت رم,ظرفیت هارد,مشخصات کیبورد,حس‌گرها,سري پردازنده,ظرفيت حافظه RAM,حافظه SSD,مدل پردازنده گرافيکي,مشخصات حافظه HDD,چراغ‌ پس زمینه صفحه کلید,ظرفیت شارژر,مقدار RAM,پردازنده مرکزی.سازنده پردازنده,پردازنده مرکزی.سری پردازنده,پردازنده مرکزی.مدل پردازنده,پردازنده مرکزی.فرکانس پردازنده,پردازنده مرکزی.حافظه Cache,حافظه RAM.ظرفیت حافظه RAM,حافظه RAM.نوع حافظه RAM,حافظه داخلی.ظرفیت حافظه داخلی,حافظه داخلی.نوع حافظه داخلی,پردازنده گرافیکی.سازنده پردازنده گرافیکی,پردازنده گرافیکی.مدل پردازنده گرافیکی,پردازنده گرافیکی.حافظه اختصاصی پردازنده گرافیکی,صفحه نمایش.اندازه صفحه نمایش,امکانات.کیبورد با نور پس زمینه,امکانات.حسگر اثر انگشت,پردازنده مرکزی Core i7 11800H,پردازنده گرافیکی RTX 3050TI,معماری پردازنده,تعداد هسته‌های Performance,تعداد هسته‌های Efficient,ظرفیت حافظه Cache,چیپست مادربرد,نوع RAM,فرکانس RAM,ظرفیت RAM,ظرفیت حافظه گرافیکی,سایز صفحه نمایش,نور پس ‌زمینه کیبورد,سنسور اثر انگشت,ویژگی های صفحه نمایش,چیپست,پردازنده,مقدار رم,تاچ آیدی,تاچ بار,مدل باتری,رم,سرعت پردازنده,نوع باطری,حسگر ها,صفحه کلید با نور پس زمینه,ظرفیت هارد دیسک,نوع هارد دیسک,عمر باتری,سازنده و مدل کارت گرافیک,حجم و نوع کارت گرافیک,سری پردازنده مرکزی,وضعیت باتری,کارکرد باتری,سنسورها,حافظه کش (L3),حافظه,سایز (اینچ),حافظه اختصاصی گرافیکی,پورت Mini Displayport,سازنده محصول,تعداد هسته و رشته,توضیحات رم,سازنده گرافیک,مقدار حافظه گرافیکی,توضیحات حافظه داخلی,قابلیت تاچ صفحه,مشخصات باطری,پشتیبانی همزمان از هارد SSD و HDD,سازنده CPU,حافظه اختصاصی کارت گرافیک,سطح صفحه نمایش مات,دوام شارژ باتری,حافظه پردازنده گرافیک,حافظه جانبي,Brand,RAM,Graphics Coprocessor,Average Battery Life (in hours),Processor,Processor Brand,Flash Memory Size,Screen Size,Computer Memory Type,Chipset Brand,Processor Count,Generation,Memory Storage Capacity,Hard Disk Size,CPU Model,Ram Memory Installed Size,Number of Processors,سال ساخت,نور پس‌زمینه LED,مقدار حافظه RAM,حافظه ذخیره‌سازی HDD,حافظه ذخیره سازی SSD,سازنده و مدل پردازنده,کیبورد با نور زمینه,Capacity,Hard Disk Description,Graphics Card Ram Size,حافضه RAM,حافظه cache,حافظه RAM,مشخصات هارد دیسک,صفحه نمایش براق,باتری/ ظرفیت باتری,سازنده ی پردازنده,حافظه ی کش,سیستم خنک کاری,مشخصات کارت گرافیک,ظرفیت حافظه داخلی هارد,نوع حافظه هارد,ظرفیت باتری (Wh),ویژگی های باتری و شارژر,نوع لپ تاپ,نام پردازنده,نور کلید,ظرفیت SSD حافظه,نوع SSD حافظه,ظرفیت گرافیک,حافظه Cache پردازنده,فرکانس حافظه RAM,توضیحات حافظه RAM,پردازنده گرافیکی مجزا,شرکت سازنده پردازنده گرافیکی,کل حافظه گرافیکی,توضیحات پردازنده گرافیکی,صفحه نمایش مات یا شیشه‌ای,مشخصات ویژه برای کیبورد,هارد دیسک(HDD),مدل گرافیک اختصاصی,نوع حافظه داخلی سوم,میزان حافظه داخلی سوم,حجم پردازنده گرافیکی,پردازنده AMD,سری کارت گرافیک,مشخصات کلی,کارت گرافیک,CPU,RAM Size,Storage Capacity,پردازنده INTEL,نورپس زمینه کیبورد - Backlit,سایر توضیحات حافظه داخلی,تولید کننده پردازنده,تعداد رشته پردازنده,پردازنده گرافیکی (مجتمع),حجم حافظه گرافیک,حجم حافظه رم,نوع هارد,سایز هارد,نوع کاربری لپتاپ,شرکت سازنده لپتاپ,صفحه لمسی,نور کیبورد,پردازنده اصلی(CPU),ظرفیت حافظه موقت (RAM),ظرفیت و نوع حافظه دائم(HARD Drive),پردازنده گرافیکی(VGA),Memory,Storage,سال معرفی,ویژگیهای پردازنده,نوع Ram,مشخصات Ram,قابلیت ارتقاء Ram,مقدار هارد,مشخصات هارد,ویژگی پردازنده گرافیکی,حسگر اثر انگشت (Touch ID),سری,تعداد هسته (Core),گرافیک پردازنده,ظرفیت حافظه هارددیسک,سال عرضه,اندازه حافظه Ram,نوع حافظه Ram,ظرفیت حافظه-Ram,امکان ارتقا حافظه Ram,اندازه حافظه پردازنده گرافیکی,اندازه باتری,پردازنده مرکزي.سازنده پردازنده,پردازنده مرکزي.سري پردازنده,پردازنده مرکزي.مدل پردازنده,پردازنده مرکزي.حافظه Cache,حافظه RAM.ظرفيت حافظه RAM,حافظه داخلي.ظرفيت حافظه داخلي,حافظه داخلي.نوع حافظه داخلي,پردازنده گرافيکي.شرکت سازنده پردازنده گرافيکي,پردازنده گرافيکي.مدل پردازنده گرافيکي,پردازنده گرافيکي.حافظه اختصاصي پردازنده گرافيکي,صفحه نمايش.صفحه نمايش مات,صفحه نمايش.صفحه نمايش لمسي,امکانات.کيبورد با نور پس زمينه,میزان حافظه کش L3,تعداد-هسته,رم انبرد,ظرفیت-هارد,کارت حافظه,توان باطری,پردازنده :,رم :,حافظه :,کارت گرافیک :,ظرفيت حافظه داخلي,نوع حافظه داخلي,حافظه ذخیره سازی,مقدار حافظه cache,سازنده پردازنده گرافیکی مجتمع,نسلCPU,حافظهSSD,Ram,هارد,مدل سرفیس,تراشه,تعداد هسته ها,Battery Size,Average Battery Life,Display Type,Internal Memory,Battery Type,External Graphics,Number of Cores,Graphics Memory Version,Model Number,Model Name,Graphics Memory Name,Graphic Memory,Storage Type,Processor Version Number/Generation,Processor Version,RAM Type,کیبرد با نور پس زمینه (Backlite),اثر انگشت (Finger),ظرفيت RAM,اندازه صفحه‌نمایش,صفحه‌نمایش لمسی,سازنده پردازنده گرافیکی یکپارچه,مدل پردازنده گرافیکی یکپارچه,سازنده پردازنده گرافیکی مجزا,مدل پردازنده گرافیکی مجزا,حجم باتری,سلول باتری,CPU اینتل,توضیحات کارت گرافیک,تعداد پردازنده,مجموع حافظه گرافیکی,تعداد رشته (thread),توضیحات پردازنده,سایر توضیحات حافظه RAM,سایر توضیحات پردازنده گرافیکی,صحفه نمایش مات,ظرفیت,Touch Bar,برند cpu,حافظه کش نهان,کارت گرافیک آنبرد,سازنده تراشه,سایر مشخصات باتری,ضخامت,مقدار حافظه Ram,قابلیت ارتقاء حافظه Ram,مشخصات حافظه Ram,مقدار حافظه داخلی,حسگر اثر انگشت Touch ID,پردازنده امنیتی,ظرفيت حافظه,مشخصات حافظه داخلي حافظه خشك,سازنده پردازنده گرافيکي,پردازنده ی گرافیکی.حافظه اختصاصی پردازنده گرافیکی,اندازه صفحه نمايش,ظرفیت پردازنده گرافیکی,حافظه گرافیکی,سایر مشخصات.شارژدهی باتری,سایر توضیحات پردازنده مرکزی (CPU),تعداد هسته Core,تعداد رشته Thread,Cache,فضای نصب SSD,حافظه اختصاصی گرافیک,RAM Reader,تشخیص چهره ( Face ID ),حافظه HDD,کد ,مدل ,رنگ ,سری پردازنده مرکزی ,ظرفیت حافظه رم ,ظرفیت هارد دیسک ,سازنده پردازنده گرافیکی ,اندازه صفحه نمایش ,شارژدهی باتری ,حافظه‌ی اختصاصی پردازنده‌ی گرافیکی,پردازنده‌ی گرافیک,ویژگی های پردارنده,پردازنده‌ی گرافیکی,نام سری پردازنده,برند و سازنده,حافظه کش - Cache,تعداد اسلاید رم,حافظه پرسرعت - SSD,امکان ارتقاء هارد دیسک تا,گرافیک اصلی,سازنده پردازنده گرافیک,حافظه اختصاصي پردازنده گرافيکي,گرافیک انبرد,کارت SD,Size,GPU,Battery,ظرفیت حافظه 8,چیپست پردازنده گرافیکی داخلی,اندازه صفحه,سایز باتری,هارد دیسک,اس اس دی,ابعاد صفحه نمایش,اثر انگشت,نور زیر صفحه کلید,پورت Type C,مدل پردازنده گرافیک,اسپیکر داخلی,خانواده,حافظه نهان (cache),حداکثر RAM قابل پشتیبانی,حافظه گرافیکی اختصاصی,نور پس زمینه کیبرد,حافظه داخلی.مشخصات حافظه داخلی,ظرفیت حافظ رم,ظرفیت Cache,ظرفیت و نوع Ram,برند و سری,نوع و مدل لپ تاپ,مدل، نوع و میزان حافظه گرافیک,شارژر / باتری,گواهی مصرف انرژی,تعداد هسته پردازشی,مقدار حافظه کش,نور صفحع کلید,مشخصات cpu ( پردازنده ),مشخصات گرافیک,توضیحات حافظه‌ی داخلی,ظرفیت حافظه داخلی Hard,نوع حافظه داخلی Hard,کش پردازنده,حافظه اصلی,سری لپ تاپ Apple,ظرفیت ذخیره سازی,سنسور,پورت display,SD Card Reader,سری لپ تاپ MSI,سری لپ تاپ ASUS,"برند				
																			
						ریزر بلید Razer Blade",حافظه داخلی هارد,ظرفیت حافظه S.S.D,صفحه نمایش چرخشی,باز شدن 360 درجه,مشخصات حافظه داخلي,شارژدهي باتري,حافظه داخلی HDD,نوع حافظه اول,ظرفیت حافظه اول,نوع حافظه دوم,ظرفیت حافظه دوم,ظرفیت اختصاصی پردازنده,هسته واقعی,هسته مجازی,پردازنده اصلی,جزئیات CPU,میزان Cache,سایز صفحه,جزئیات رم,میزان حافظه کش L2,صفحه تاچ,Human Interface Input,CPU Manufacturer,Form Factor,نسل AMD,سری AMD,ظرفیت حافظه پردازنده گرافیکی,ظرفیت داخلی,نوع ظرفیت داخلی,نسل Intel,سری Intel,سری دستگاه,وزن دستگاه,رشته (هسته مجازی),حداقل فرکانس,حداکثر فرکانس,حداکثر توان گرافیک,هارد مکانیکی,قابلیت ارتقا هارد,درگاه USB
0,8.999.000,INTEL,Celeron,600,2,2,4MB,4GB,ندارد,1TB,دارد,ندارد,UP TO 2GB,UHD,دارد,ندارد,2Cell 35WHr,2 الی 4 ساعت,ندارد,ندارد,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,59.500.000,,Core i7,12650H,10,16,24MB,,Up to 32GB,,,,8GB,GeForce,,,4Cell 76WHr,,,,Intel,Alder Lake,نسل 12,x86,16GB,SSD,512GB,PCIe NVMe,2,NVIDIA,RTX 3070,GDDR6,256Bit,White Backlit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,37.200.000,,12th Gen\Alder Lake,,,,,,,,,,,,,,,,,❌,,,,,,,512GB,,,,NVIDIA GeForce RTX 3050,,,,Intel,Core i5-12450H,8 هسته (4 هسته پُرمصرف + 4 هسته کم مصرف),12MB Smart Cache,16GB,DDR4,15.6 اینچ,4GB,GDDR6,✔️,M.2 2242 PCIe 4.0 ×4 NVMe,❌,جزیره‌ای,45WHr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,48.899.000,,M1,,,,,,,,,,,,خیر,خیر,,,,دارد,,,,,,,,,,,,,,,,Apple M1 chip,,,,,,,,,,,,,12 مگابایت,8 گیگابایت,Unified,256 گیگابایت,SSD,PCIe-based onboard,Apple,7core Apple-designed integrated GPU,بدون حافظه‌ی گرافیکی مجزا,13.3 اینچ,دارد,حداکثر تا 15 ساعت برای وب گردی ساعت,باتری لیتیوم پلیمر با ظرفیت 49.9 وات ساعت,Apple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,36.700.000,,Core i5,10300H,4,8,8MB,,Up to 32GB,,,,4GB,GeForce,,,3Cell 48WHrs,,,,Intel,Comet Lake,نسل 10,x86,8GB,SSD,512GB,PCIe NVMe,1,NVIDIA,GTX 1650,GDDR6,128Bit,Backlit Chiclet Keyboard 1-Zone RGB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,18.470.000,,Core i3,,2,,,,,,,,,,,ندارد,,,,ندارد,,,11,,,,,,,,,,,,,,,,,,,,,,,,,35 وات ساعت,,12 گیگابایت,DDR4,1 ترابایت + 256 گیگابایت,,PCIe NVMe,Intel,Intel UHD,Up to 2GB share 3.0,,,1 تا 2 ساعت,,,Ideapad 3,15.6 اینچ,1115G4,6 مگابایت,Intel,پردازنده گرافیکی یکپارچه,HDD ،SSD,1 ترابایت,256 گیگابایت,ندارد,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,37.800.000,Intel,Core i5,Victus 15-FA0031DX-Z,,,,,,,,,,,,ندارد,,,,,,,,,,,,,,,,,,,,,,,,DDR4,,,,,,,,52.5 وات ساعت,,,,512 گیگابایت,SSD,,,,,15.6 اینچ,,,,,,,12450H,,,,,,,,دارد (White Backlit),64 بیتی,8 هسته حقیقی + 12 هسته مجازی,12 مگابایت,NVIDIA GeForce GTX 1650,GDDR6,4 گیگابایت,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,11.680.000,INTEL,Celeron,600,2,4,4MB,4GB,ندارد,1TB,دارد,,,UHD,دارد,ندارد,2Cell 35WHr,2 الی 4 ساعت,ندارد,ندارد,,,,,,HDD-SSD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128GB,UP TO 2GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,39.999.000,,11400H,,6 هسته حقیقی + 12 هسته مجازی,,12 مگابایت,,,,,,,GeForce,بله,خیر,,,,ندارد,,,,x86,,SSD,,PCIe NVMe,2 عدد,,,,,Backlit Chiclet Keyboard Per-Key RGB,,Core i5,,,,,,,,,,,,,,,,,,,,Geforce RTX3050 4GB GDDR6,,15.6 اینچ,دارد,1 الی 3 ساعت,,,,,,,,,,,,,,,,,,,,,,512GB,ندارد,4GB,8GB,ASUS,ندارد,2 عدد,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,30.199.000,,corei5,,چهار هسته ای,,6 مگابایت,8 گیگابایت,,,,,,,ندارد,قابلیت 10 لمس همزمان,,تا 13 ساعت,,,,,سری 10,,,,,,,,,,,,,1035G1,,,,LP DDR4X,,,,,,,,39 وات,,,,,,,,,,12.4 اینچ,,,,,,,,,,,,,256 گیگابایت,,,,,,,,,,,,,,,,,,"اثر انگشت, تشخیص چهره Windows Hello, تشخیص نور محیط",Intel,Intel UHD Graphics,Up to 2GB Share,دارد,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
