,0
0,قابلیت ارتقاٌ
1,هرتز صفحه نمایش
2,Item Dimensions  LxWxH
3,طبقه‌ بندی
4,انتخاب سیستم عامل
5,اقلام داخل جعبه
6,سنسور تاچ آیدی
7,وایفای
8,خروجی تصویر
9,سرعت پورت
10,پورت ها
11,روشنایی صفحه
12,کیفیت صفحه
13,تکنولوژی پنل
14,موتور شبکه عصبی
15,جزئیات GPU
16,گیمینگ
17,تعداد پورت Type-C
18,شناسه گارانتی
19,مشخصات بلندگوها
20,نرخ بروزرسانی نمایشگر
21,نرخ بروز رسانی تصویر
22,تعداد پورتUSB 3.2
23,ODD
24,Interface
25,LED
26,توضيحات سيستم عامل
27,توضيحات باتري
28,طبقه‌بندي
29,توضيحات پورت شبکه Ethernet
30,توضيحات شبکه بي سيم Wi-Fi
31,مشخصات اسپيکر
32,توضيحات وبکم
33,توضيحات درايو نوري
34,درايو نوري
35,توضيحات صفحه نمايش
36,اقلام همراه لپتاب
37,صفحه نمایش جداشونده
38,حافظه اختصاصی پردازنده گرافیک
39,حداکثر سرعت پردازنده
40,شبکه بی‌سیم Wi-Fi
41,"پورت ""HDMI"""
42,						ریزر بلید Razer Blade
43,كاربري
44,ابعاد،بدنه و رنگ لپ تاپ
45,شبکه و ارتباطات
46,چیپ ست Chipset
47,جک هدفون / میکروفن
48,پورت Serial یا COM
49,پشتیبانی از G-SYNC
50,شبکه بی‌سیم WIFI
51,رایتر
52,بک لایت
53,پورت سیمکارت
54,پورت thunderbolt 3
55,پورت Thunderbolt 2
56,پورت USB-c
57,پورت mini display
58,پورت RJ-11
59,پورت eSATA USB 2.0
60,رم قابل ارتقا تا
61,دکمه های فیزیکی
62,متعلقات داخل جعبه
63,دوربین / مالتی مدیا
64,عمر باتری در هربار شارژ
65,مشخصات ظاهری
66,امکانات.توضیحات پورت Thunderbolt
67,امکانات.توضیحات شبکه بی سیم Wi-Fi
68,امکانات.توضیحات وبکم
69,صفحه نمایش.توضیحات صفحه نمایش
70,امکانات.پورت Serial
71,امکانات.پورت Thunderbolt
72,امکانات.مودم
73,جزئیات طراحی خاص
74,مشخصات ویژه
75,توان افزایشی گرافیک
76,توضیحات شبکه بی سیم
77,رده کاربردی
78,وزن کالا
79,نرم افزار روی دستگاه
80,متعلقات دستگاه
81,سنسورهای دستگاه
82,دوربین و صدا
83,پورت ها و درگاه ها
84,شبکه ها
85,مشخصات کیبورد دستگاه
86,مشخصات نمایشگر
87,ظاهر دستگاه
88,تعداد پورت type-C
89,نوع صفحه نمایش لپ تاپ
90,مشخصات وب‌کم
91,توضیحات شبکه WiFi
92,پشتيباني از کارت حافظه جانبي
93,درگاه سیم کارت
94,نورپردازی
95,قدرت صدا
96,پشتیبانی از نمایشگر خارجی
97,سایر توضحات / اقلام همراه
98,پورت های دستگاه
99,بلند گوی داخلی
100,پورت های خروجی تصویر
101,درگاه های ارتباطی
102,تعداد رنگ
103,وزن لپ تاپ
104,ابعاد لپ تاپ
105,مدیریت امنیت
106,نرم افزارهای موجود
107,Expansion Slots (سایر اسلات ها)
108,کنترلر صدا و اسپیکر
109,ورودی و خروجی لپ‌تاپ
110,گزینه های ذخیره سازی (نوع و مقدار)
111,کارایی و رده بندی
112,شارژ دهی باطری
113,شبکه بی سیم wi-fi
114,قابلیت های شارژ
115,سایر مشخصات.توضیحات باتری
116,جک هدفون AUX
117,باتری جداشدنی
118,مشخصات بلوتوث
119,کارت خوان (Card Reader)
120,پورت شبکه (Ethernet)
121,مشخصات شبکه بیسیم
122,کارت شبکه بیسیم (WiFi)
123,نرخ بروزرسانی
124,تعداد اسلات RAM
125,فرکانس (سرعت)
126,پارت نامبر
127,ساختار بدنه
128,قابلیت کار با سرفیس دایال
129,امنیت
130,سایر نرم افزارها
131,امکانات ویژه جنبی
132,امکانات نرم افزاری	
133,امکانات ویژه	
134,DVD/RW
135,پورت و درگاه ها
136,مشخصات صفحه نمایش
137,External Ports
138,other Features
139,Device health
140,درگاه USB Type-A نسل سوم
141,درگاه USB Type-A نسل دوم
142,Hard Drive Rotational Speed
143,Voltage
144,امکان ارتقاء رم تا
145,وزن تقریبی کالا
146,سازگاری با نرم افزارها
147,استاندارد دوام محصول
148,تعداد درگاه خروجی
149,مشخصات پورت Thunderbolt
150,سنسور های امنیتی
151,درگاه Lightning
152,درگاه USB-A
153,نرخ نوسازی تصاویر
154,تعداد پورت USB2.0
155,درگاه ها
156,سایکل باطری
157,فرکانس کاری پردازنده
158,مشخصات سیم کارت
159,پشتیبانی از سیم کارت
160,توضیحات 
161,گرید و وضعیت 
162,رنگ
163,وزن 
164,درگاه USB 3.1
165,نورپردازی RGB
166,مدت زمان استفاده پیوسته
167,شبکه Wifi
168,شبکه Ethernet
169,پورت mini DisplayPort
170,فرکانس در حالت توربو
171,کانفیگ
172,قابلیت‌های دستگاه
173,مشخصات
174,امکانات.تعداد پورت USB 2.0
175,امکانات.تعداد پورت USB 3.0
176,زمان پاسخگوئی
177,Ports
178,امکانات جانبی
179,بیت ریت پردازنده گرافیکی
180,حداکثر فرکانس پردازنده
181,رشته
182,امکانات ديگر
183,ساير مشخصات
184,صفحه نمايش مات
185,دقت صفحه نمايش
186,نوع صفحه نمايش
187,امکانات نرم افزاری
188,سایر ویژگیها
189,فناوری پخش صوتی
190,فرمتهای پخش صوتی
191,انعکاس باسیم ویدیو
192,انعکاس بی سیم ویدیو
193,فرمتهای پخش ویدیو
194,ویژگی میکروفن
195,ویژگی اسپیکر
196,اطلاعات سیستم احراز هویت
197,سایر اقلام سازگار
198,ویژگی قلم و کیبورد استاندارد
199,کیبورد سازگار استاندارد
200,قلم سازگار استاندارد
201,پورت Lightning
202,پورت USB-A
203,رادیو
204,NFC
205,موقعیت یابی
206,مشخصات شبکه بی سیم
207,مشخصات دوربین جلو
208,تعداد لنز دوربین
209,سیستم رنگ صفحه نمایش
210,قابلیت جداسازی حافظه داخلی
211,سرعت حافظه
212,نرم افزارهای داخلی
213,ابعاد دستگاه
214,وضعیت
215,قلم
216,گواهینامه ی دوام
217,نرخ بازنشانی تصویر
218,طول
219,عرض
220,مناسب برای استفاده
221,پورت شبکه RJ45
222,پورت مشترک هدفون/میکروفن
223,کیفیت تصویر
224,WLAN
225,فرم فاکتور
226,رابط اتصال
227,فرکانس کاری رم
228,اقلام درون جعبه
229,Touch ID
230,دروبین
231,Headphone Jack
232,MagSafe 3 port
233,SDXC card slot
